source_order_id,input_weight,scheduled_weight,passed
0030123916-000030,69.0,69.0,True
0030123916-000040,23.0,23.0,True
0030123936-000010,182.0,182.0,True
0030123936-000020,327.94,327.94,True
0030124078-000010,44.0,44.0,True
0030124081-000010,48.0,48.0,True
0030124170-000010,69.0,69.0,True
0030124199-000010,26.0,26.0,True
0030124207-000010,24.0,24.0,True
0030124207-000020,24.0,24.0,True
0030124397-000030,24.0,24.0,True
0030124437-000010,18.0,18.0,True
0030124437-000020,22.0,22.0,True
0030124438-000010,23.0,23.0,True
0030124440-000020,23.0,23.0,True
0030124440-000030,24.0,24.0,True
0030124440-000040,24.0,24.0,True
0030124457-000010,44.0,44.0,True
0030124457-000020,24.0,24.0,True
0030124567-000010,24.0,24.0,True
0030124574-000010,23.0,23.0,True
0030124583-000010,24.0,24.0,True
0030124683-000010,96.0,96.0,True
0030124683-000020,48.0,48.0,True
0030124683-000030,48.0,48.0,True
0030124683-000040,192.0,192.0,True
0030124683-000050,23.0,23.0,True
0030124731-000010,48.0,48.0,True
0030124731-000020,54.0,54.0,True
0030124734-000010,24.0,24.0,True
0030124735-000060,24.0,24.0,True
0030124735-000070,24.0,24.0,True
0030124735-000080,24.0,24.0,True
0030124735-000090,24.0,24.0,True
0030124735-000100,24.0,24.0,True
0030124735-000110,24.0,24.0,True
0030124735-000120,24.0,24.0,True
0030124735-000130,24.0,24.0,True
0030124772-000010,24.0,24.0,True
0030124772-000020,24.0,24.0,True
0030124772-000030,24.0,24.0,True
0030124772-000060,23.0,23.0,True
0030124800-000010,24.0,24.0,True
0030124800-000020,24.0,24.0,True
0030124800-000030,23.0,23.0,True
0030124800-000040,24.0,24.0,True
0030124800-000050,23.0,23.0,True
0030124800-000060,23.0,23.0,True
0030124800-000070,23.0,23.0,True
0030124800-000080,24.0,24.0,True
0030124824-000010,20.0,20.0,True
0030124824-000020,430.0,430.0,True
0030124824-000030,37.29,37.29,True
0030124824-000040,92.95,92.95,True
0030124824-000050,23.11,23.11,True
0030124826-000010,40.0,40.0,True
0030124826-000030,30.0,30.0,True
0030124826-000040,50.0,50.0,True
0030124827-000010,70.0,70.0,True
0030124827-000020,50.0,50.0,True
0030124871-000010,25.0,25.0,True
0030124871-000020,20.0,20.0,True
0030124871-000030,20.0,20.0,True
0030124871-000040,20.0,20.0,True
0030124871-000050,20.0,20.0,True
0030124871-000060,300.0,300.0,True
0030124871-000070,230.0,230.0,True
0030124871-000080,60.0,60.0,True
0030124871-000090,70.0,70.0,True
0030124871-000100,210.0,210.0,True
0030124871-000110,140.0,140.0,True
0030124871-000120,220.0,220.0,True
0030124871-000130,180.0,180.0,True
0030124871-000140,30.0,30.0,True
0030125097-000010,7.65,7.65,True
0030125101-000020,120.0,120.0,True
0030125101-000030,48.0,48.0,True
0030125102-000010,72.0,72.0,True
0030125147-000010,24.0,24.0,True
0030125147-000020,23.0,23.0,True
0030125147-000030,110.0,110.0,True
0030125150-000010,24.0,24.0,True
0030125150-000020,24.0,24.0,True
0030125150-000030,96.0,96.0,True
0030125157-000010,26.0,26.0,True
0030125168-000010,72.0,72.0,True
0030125168-000020,48.0,48.0,True
0030125168-000030,48.0,48.0,True
0030125168-000040,48.0,48.0,True
0030125168-000050,24.0,24.0,True
0030125168-000060,24.0,24.0,True
0030125168-000070,24.0,24.0,True
0030125168-000080,24.0,24.0,True
0030125168-000090,24.0,24.0,True
0030125170-000010,20.0,20.0,True
0030125184-000010,48.0,48.0,True
0030125206-000010,23.0,23.0,True
0030125207-000020,22.0,22.0,True
0030125207-000030,22.0,22.0,True
0030125207-000040,46.0,46.0,True
0030125207-000050,48.0,48.0,True
0030125207-000060,24.0,24.0,True
0030125207-000070,24.0,24.0,True
0030125207-000080,46.0,46.0,True
0030125207-000090,24.0,24.0,True
0030125207-000100,24.0,24.0,True
0030125207-000110,24.0,24.0,True
0030125207-000120,22.0,22.0,True
0030125207-000130,22.0,22.0,True
0030125207-000140,44.0,44.0,True
