artifact_kind,publishable,node_id,source_order_id,source_resource_id,source_period,assigned_period,chain_id,chain_sequence,node_sequence,weight,width,thickness,min_temperature,max_temperature,grade,grade_class,hot_roll_grade,soft_hard_class,material_role,split_lineage,virtual_lineage,width_warning,thickness_warning,temperature_warning,chain_warning,business_warning
diagnostic_candidate,False,virtual-000036,,,,BR_00000001,numeric-chain-000027,3,3,20.00,1250,2.50,700,840,SPHC,,SPHC,,virtual_sphc,,"{""accepted_sequence"":36,""prototype_id"":""virtual_sphc:1250x2.5"",""purpose"":""edge_bridge"",""related_partition_id"":null}",,,,,
diagnostic_candidate,False,0030119938-000320,0030119938-000320,0030119938-000320,BR_00000001,BR_00000001,numeric-chain-000027,3,4,24.6,1250,2.49,820,840,DC53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,False,virtual-000031,,,,BR_00000001,numeric-chain-000027,3,5,20.00,1250,2.50,700,840,SPHC,,SPHC,,virtual_sphc,,"{""accepted_sequence"":31,""prototype_id"":""virtual_sphc:1250x2.5"",""purpose"":""edge_bridge"",""related_partition_id"":null}",,,,,
diagnostic_candidate,False,virtual-000032,,,,BR_00000001,numeric-chain-000027,3,6,20.00,1250,2.50,700,840,SPHC,,SPHC,,virtual_sphc,,"{""accepted_sequence"":32,""prototype_id"":""virtual_sphc:1250x2.5"",""purpose"":""edge_bridge"",""related_partition_id"":null}",,,,,
diagnostic_candidate,False,0030118921-000020,0030118921-000020,0030118921-000020,BR_00000001,BR_00000001,numeric-chain-000027,3,7,23,1110,2.49,700,720,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,,
diagnostic_candidate,False,0010020206-000030,0010020206-000030,0010020206-000030,BR_00000006,BR_00000001,numeric-chain-000027,3,8,110,1000,2.5,700,720,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,,
diagnostic_candidate,False,0002002055-000070,0002002055-000070,0002002055-000070,BR_00000001,BR_00000001,numeric-chain-000019,4,1,491,1191,0.6,820,840,DX53D+Z-MD,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0010019680-000010,0010019680-000010,0010019680-000010,BR_00000006,BR_00000001,numeric-chain-000019,4,2,48,1170,0.6,700,840,DC51D+Z-D,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0010019680-000030,0010019680-000030,0010019680-000030,BR_00000006,BR_00000001,numeric-chain-000019,4,3,48,1160,0.6,700,840,DC51D+Z-D,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0002002176-000010,0002002176-000010,0002002176-000010,BR_00000006,BR_00000001,numeric-chain-000019,4,4,15,1150,0.65,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,False,virtual-000062,,,,BR_00000001,numeric-chain-000019,4,5,20.00,1250,0.60,770,835,SPHC,,SPHC,,virtual_sphc,,"{""accepted_sequence"":62,""prototype_id"":""virtual_sphc:1250x0.6"",""purpose"":""edge_bridge"",""related_partition_id"":null}",,,,,
diagnostic_candidate,False,0002002055-000040,0002002055-000040,0002002055-000040,BR_00000001,BR_00000001,numeric-chain-000019,4,6,346.03,1150,0.5,815,835,DX51D+Z-MD,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,False,virtual-000063,,,,BR_00000001,numeric-chain-000019,4,7,20.00,1250,0.50,770,835,SPHC,,SPHC,,virtual_sphc,,"{""accepted_sequence"":63,""prototype_id"":""virtual_sphc:1250x0.5"",""purpose"":""edge_bridge"",""related_partition_id"":null}",,,,,
diagnostic_candidate,False,0030125206-000010,0030125206-000010,0030125206-000010,BR_00000006,BR_00000001,numeric-chain-000019,4,8,23,1120,0.6,770,810,DC51D+Z,深冲钢（PD）,SPHCQ,软钢,normal_real,,,,,,,
