chain_id,assigned_period,position,node_id,source_order_id,source_resource_id,source_period,material_role,weight,width,thickness,min_temperature,max_temperature,grade,partition_id,piece_index,virtual_prototype_id,virtual_purpose,virtual_accepted_sequence,related_partition_id,sequence,small_roll,delivery_date
initial-000001,BR_00000001,30,0030124800-000050,0030124800-000050,0030124800-000050,BR_00000006,normal_real,23.0,1066.0,0.5,770.0,810.0,DX52D+Z,,,,,,,31,01,2026-06-30
initial-000001,BR_00000001,31,0002002184-000130,0002002184-000130,0002002184-000130,BR_00000006,normal_real,19.0,1063.0,0.6,770.0,810.0,DC51D+Z,,,,,,,32,01,2026-06-30
initial-000001,BR_00000001,32,0002002195-000050,0002002195-000050,0002002195-000050,BR_00000006,normal_real,48.0,1063.0,0.65,770.0,810.0,DC51D+Z,,,,,,,33,01,2026-06-30
initial-000008,BR_00000001,0,0002002193-000030,0002002193-000030,0002002193-000030,BR_00000006,normal_real,52.0,1655.0,1.0,770.0,810.0,DC51D+Z,,,,,,,34,02,2026-06-30
initial-000008,BR_00000001,1,0010020206-000100,0010020206-000100,0010020206-000100,BR_00000006,actual_transition,95.94,1500.0,1.0,700.0,840.0,DC51D+Z,,,,,,,35,02,2026-06-30
initial-000008,BR_00000001,2,0030120817-000050,0030120817-000050,0030120817-000050,BR_00000003,normal_real,50.0,1480.0,1.2,785.0,815.0,HC420/780DPD+Z,,,,,,,36,02,2026-06-15
initial-000008,BR_00000001,3,0030124735-000110,0030124735-000110,0030124735-000110,BR_00000006,actual_transition,24.0,1350.0,1.4,700.0,840.0,DX51D+Z,,,,,,,37,02,2026-06-30
initial-000008,BR_00000001,4,0030124735-000070,0030124735-000070,0030124735-000070,BR_00000006,normal_real,24.0,1350.0,1.4,805.0,825.0,HC260YD+Z,,,,,,,38,02,2026-06-30
initial-000008,BR_00000001,5,0030121501-000010,0030121501-000010,0030121501-000010,BR_00000001,normal_real,25.11,1330.0,1.2,800.0,820.0,HC260YD+Z,,,,,,,39,02,2026-05-31
initial-000008,BR_00000001,6,0002002170-000350,0002002170-000350,0002002170-000350,BR_00000006,normal_real,23.0,1300.0,1.2,770.0,810.0,DC51D+Z,,,,,,,40,02,2026-06-30
initial-000008,BR_00000001,7,0030122488-000020,0030122488-000020,0030122488-000020,BR_00000006,normal_real,96.0,1250.0,1.25,770.0,810.0,DC52D+Z,,,,,,,41,02,2026-06-30
initial-000008,BR_00000001,8,0010019881-000040,0010019881-000040,0010019881-000040,BR_00000006,actual_transition,96.0,1250.0,1.45,700.0,840.0,DC51D+Z,,,,,,,42,02,2026-06-30
initial-000008,BR_00000001,9,0030120939-000090,0030120939-000090,0030120939-000090,BR_00000002,normal_real,24.0,1250.0,1.5,810.0,830.0,HC180YD+Z,,,,,,,43,02,2026-06-10
initial-000008,BR_00000001,10,0030124735-000080,0030124735-000080,0030124735-000080,BR_00000006,normal_real,24.0,1250.0,1.8,805.0,825.0,HC260YD+Z,,,,,,,44,02,2026-06-30
initial-000008,BR_00000001,11,0030125101-000030,0030125101-000030,0030125101-000030,BR_00000006,actual_transition,48.0,1242.0,1.5,700.0,840.0,DC51D+Z,,,,,,,45,02,2026-06-30
initial-000008,BR_00000001,12,0030121432-000010,0030121432-000010,0030121432-000010,BR_00000002,normal_real,48.0,1235.0,1.35,795.0,815.0,HC220YD+Z,,,,,,,46,02,2026-06-10
initial-000008,BR_00000001,13,0002002202-000110,0002002202-000110,0002002202-000110,BR_00000006,normal_real,23.0,1218.0,1.2,770.0,810.0,DC51D+Z,,,,,,,47,02,2026-06-30
initial-000008,BR_00000001,14,0002002185-000090,0002002185-000090,0002002185-000090,BR_00000006,normal_real,1.97,1215.0,1.2,770.0,810.0,DC51D+Z,,,,,,,48,02,2026-06-30
initial-000008,BR_00000001,15,0002002170-000050,0002002170-000050,0002002170-000050,BR_00000006,normal_real,23.0,1175.0,1.2,770.0,810.0,DC51D+Z,,,,,,,49,02,2026-06-30
initial-000008,BR_00000001,16,0030124683-000050,0030124683-000050,0030124683-000050,BR_00000006,normal_real,23.0,1140.0,1.2,795.0,815.0,HC220YD+Z,,,,,,,50,02,2026-06-30
initial-000008,BR_00000001,17,0030125170-000010,0030125170-000010,0030125170-000010,BR_00000006,normal_real,20.0,1070.0,1.2,795.0,815.0,HC220YD+Z-GL,,,,,,,51,02,2026-06-30
initial-000014,BR_00000001,0,0002002177-000030,0002002177-000030,0002002177-000030,BR_00000006,normal_real,15.0,1590.0,0.65,770.0,810.0,DC51D+Z,,,,,,,52,03,2026-06-30
initial-000014,BR_00000001,1,0002001995-000010,0002001995-000010,0002001995-000010,BR_00000001,normal_real,19.16,1583.0,0.65,770.0,810.0,DC51D+Z,,,,,,,53,03,2026-05-31
initial-000014,BR_00000001,2,0002002180-000340,0002002180-000340,0002002180-000340,BR_00000006,normal_real,20.0,1555.0,0.6,770.0,810.0,DC51D+Z,,,,,,,54,03,2026-06-30
initial-000014,BR_00000001,3,0002002180-000130,0002002180-000130,0002002180-000130,BR_00000006,normal_real,34.0,1510.0,0.6,770.0,810.0,DC51D+Z,,,,,,,55,03,2026-06-30
