artifact_kind,publishable,node_id,source_order_id,source_resource_id,source_period,assigned_period,chain_id,chain_sequence,node_sequence,weight,width,thickness,min_temperature,max_temperature,grade,grade_class,hot_roll_grade,soft_hard_class,material_role,split_lineage,virtual_lineage,width_warning,thickness_warning,temperature_warning,chain_warning,business_warning
diagnostic_candidate,True,0002002185-000030,0002002185-000030,0002002185-000030,BR_00000036,BR_00000006,numeric-chain-000022,3,17,23,1373,1.6,770,810,DC51D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030125101-000020,0030125101-000020,0030125101-000020,BR_00000036,BR_00000006,numeric-chain-000022,3,18,120,1360,1.5,700,840,DC51D+Z-Q,深冲钢（PD）,SPHCQ,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030116618-000050,0030116618-000050,0030116618-000050,BR_00000030,BR_00000006,numeric-chain-000022,3,19,72,1360,1.5,700,720,DC51D+Z-Q,深冲钢（PD）,SPHCQ,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0010015684-000030,0010015684-000030,0010015684-000030,BR_00000018,BR_00000006,numeric-chain-000022,3,20,52,1355,1.95,700,840,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,,
diagnostic_candidate,True,0005000489-000030,0005000489-000030,0005000489-000030,BR_00000018,BR_00000006,numeric-chain-000022,3,21,23,1337,1.8,740,780,CR420LA,低合金高强,H420LAD-3,硬钢,normal_real,,,,,,,
diagnostic_candidate,True,0005000549-000080,0005000549-000080,0005000549-000080,BR_00000030,BR_00000006,numeric-chain-000022,3,22,23,1337,1.8,740,780,CR420LA,低合金高强,H420LAD-3,硬钢,normal_real,,,,,,,
diagnostic_candidate,True,0005000501-000070,0005000501-000070,0005000501-000070,BR_00000024,BR_00000006,numeric-chain-000022,3,23,21,1335,1.7,740,780,CR420LA,低合金高强,H420LAD-3,硬钢,normal_real,,,,,,,
diagnostic_candidate,True,0005000547-000090,0005000547-000090,0005000547-000090,BR_00000030,BR_00000006,numeric-chain-000022,3,24,42,1335,1.7,740,780,CR420LA,低合金高强,H420LAD-3,硬钢,normal_real,,,,,,,
diagnostic_candidate,True,0005000501-000140,0005000501-000140,0005000501-000140,BR_00000024,BR_00000006,numeric-chain-000022,3,25,42,1291,1.4,730,770,CR420LA,低合金高强,H420LAD-3,硬钢,normal_real,,,,,,,
diagnostic_candidate,True,0005000563-000180,0005000563-000180,0005000563-000180,BR_00000036,BR_00000006,numeric-chain-000022,3,26,21,1270,1.5,740,780,CR420LA,低合金高强,H420LAD-3,硬钢,normal_real,,,,,,,
diagnostic_candidate,True,0005000547-000240,0005000547-000240,0005000547-000240,BR_00000030,BR_00000006,numeric-chain-000022,3,27,42,1270,1.5,740,780,CR420LA,低合金高强,H420LAD-3,硬钢,normal_real,,,,,,,
diagnostic_candidate,True,0005000464-000180,0005000464-000180,0005000464-000180,BR_00000012,BR_00000006,numeric-chain-000022,3,28,21,1270,1.5,740,780,CR420LA,低合金高强,H420LAD-3,硬钢,normal_real,,,,,,,
diagnostic_candidate,True,0005000514-000020,0005000514-000020,0005000514-000020,BR_00000024,BR_00000006,numeric-chain-000022,3,29,23,1262,1.5,740,780,CR420LA,低合金高强,H420LAD-3,硬钢,normal_real,,,,,,,
diagnostic_candidate,True,0010019881-000040,0010019881-000040,0010019881-000040,BR_00000036,BR_00000006,numeric-chain-000022,3,30,96,1250,1.45,700,840,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,,
diagnostic_candidate,True,0030120939-000090,0030120939-000090,0030120939-000090,BR_00000032,BR_00000006,numeric-chain-000022,3,31,24,1250,1.5,810,830,HC180YD+Z,加磷高强、烘烤硬化钢,H180YD,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030124735-000080,0030124735-000080,0030124735-000080,BR_00000036,BR_00000006,numeric-chain-000022,3,32,24,1250,1.8,805,825,HC260YD+Z,加磷高强、烘烤硬化钢,H260Y,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030118415-000010,0030118415-000010,0030118415-000010,BR_00000030,BR_00000006,numeric-chain-000022,3,33,48,1240,2.25,805,825,HC260YD+Z,加磷高强、烘烤硬化钢,H260Y,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002002054-000290,0002002054-000290,0002002054-000290,BR_00000030,BR_00000006,numeric-chain-000022,3,34,141,1219,2,800,820,DX51D+Z-MD,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002001899-000080,0002001899-000080,0002001899-000080,BR_00000024,BR_00000006,numeric-chain-000022,3,35,22,1219,2,800,820,DX51D+Z-MD,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002002054-000180,0002002054-000180,0002002054-000180,BR_00000030,BR_00000006,numeric-chain-000022,3,36,166,1219,2.5,800,820,DX51D+Z-MD,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002002054-000070,0002002054-000070,0002002054-000070,BR_00000030,BR_00000006,numeric-chain-000022,3,37,51,1219,2.5,800,820,DX51D+Z-MD,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030121327-000010,0030121327-000010,0030121327-000010,BR_00000032,BR_00000006,numeric-chain-000022,3,38,24,1195,2.49,795,815,HC220YD+Z,加磷高强、烘烤硬化钢,H220Y,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002002202-000270,0002002202-000270,0002002202-000270,BR_00000036,BR_00000006,numeric-chain-000022,3,39,23,1185,2,770,810,DC51D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030103224-000060,0030103224-000060,0030103224-000060,BR_00000012,BR_00000006,numeric-chain-000022,3,40,72,1180,2.5,700,840,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,,
diagnostic_candidate,True,0030102943-000040,0030102943-000040,0030102943-000040,BR_00000012,BR_00000006,numeric-chain-000022,3,41,72,1180,2.5,700,840,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,,
diagnostic_candidate,True,0030114668-000050,0030114668-000050,0030114668-000050,BR_00000024,BR_00000006,numeric-chain-000022,3,42,20,1065,2.4,715,735,CR380LA,低合金高强,H380LA-3,硬钢,normal_real,,,,,,,
diagnostic_candidate,True,0005000547-000450,0005000547-000450,0005000547-000450,BR_00000030,BR_00000006,numeric-chain-000022,3,43,40,1025,2.2,715,735,CR380LA,低合金高强,H380LA-3,硬钢,normal_real,,,,,,,
diagnostic_candidate,True,0005000501-000410,0005000501-000410,0005000501-000410,BR_00000024,BR_00000006,numeric-chain-000022,3,44,40,1025,2.2,715,735,CR380LA,低合金高强,H380LA-3,硬钢,normal_real,,,,,,,
diagnostic_candidate,True,0030107381-000030,0030107381-000030,0030107381-000030,BR_00000018,BR_00000006,numeric-chain-000027,4,1,132,1374,0.75,830,850,CR3,IF钢,SPHETI-36,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0005000501-000030,0005000501-000030,0005000501-000030,BR_00000024,BR_00000006,numeric-chain-000027,4,2,42,1365,0.8,830,850,CR180BH,加磷高强、烘烤硬化钢,H180BH,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002002053-000030,0002002053-000030,0002002053-000030,BR_00000030,BR_00000006,numeric-chain-000027,4,3,24,1365,1,820,840,DX53D+Z-MD,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0005000486-000130,0005000486-000130,0005000486-000130,BR_00000018,BR_00000006,numeric-chain-000027,4,4,63,1350,0.8,830,850,CR180BH,加磷高强、烘烤硬化钢,H180BH,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0005000547-000360,0005000547-000360,0005000547-000360,BR_00000030,BR_00000006,numeric-chain-000027,4,5,21,1341,0.7,830,850,CR3,IF钢,SPHETI-36,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0005000501-000310,0005000501-000310,0005000501-000310,BR_00000024,BR_00000006,numeric-chain-000027,4,6,21,1341,0.7,830,850,CR3,IF钢,SPHETI-36,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002002176-000240,0002002176-000240,0002002176-000240,BR_00000036,BR_00000006,numeric-chain-000027,4,7,69,1335,0.65,820,840,DC53D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002001890-000310,0002001890-000310,0002001890-000310,BR_00000024,BR_00000006,numeric-chain-000027,4,8,23,1335,0.65,820,840,DC53D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002001871-000520,0002001871-000520,0002001871-000520,BR_00000024,BR_00000006,numeric-chain-000027,4,9,20,1335,0.65,820,840,DC53D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
