artifact_kind,publishable,node_id,source_order_id,source_resource_id,source_period,assigned_period,chain_id,chain_sequence,node_sequence,weight,width,thickness,min_temperature,max_temperature,grade,grade_class,hot_roll_grade,soft_hard_class,material_role,split_lineage,virtual_lineage,width_warning,thickness_warning,temperature_warning,chain_warning
diagnostic_candidate,True,0002002152-000010,0002002152-000010,0002002152-000010,BR_00000006,BR_00000001,numeric-chain-000021,4,16,23,1155,0.65,810,830,HC180YD+Z,加磷高强、烘烤硬化钢,H180YD,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002170-000310,0002002170-000310,0002002170-000310,BR_00000006,BR_00000001,numeric-chain-000021,4,17,23,1120,0.6,810,830,180YD+Z,加磷高强、烘烤硬化钢,H180YD,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030119041-000020,0030119041-000020,0030119041-000020,BR_00000001,BR_00000001,numeric-chain-000021,4,18,16.85,1120,0.6,820,840,HC180BD+Z,加磷高强、烘烤硬化钢,H180BH1,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030118934-000060,0030118934-000060,0030118934-000060,BR_00000001,BR_00000001,numeric-chain-000021,4,19,188.59,1120,0.7,830,850,DX54D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030119959-000010,0030119959-000010,0030119959-000010,BR_00000001,BR_00000001,numeric-chain-000021,4,20,23,1120,0.65,830,850,DC54D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030124772-000060,0030124772-000060,0030124772-000060,BR_00000006,BR_00000001,numeric-chain-000021,4,21,23,1120,0.65,830,850,DC54D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002180-000270,0002002180-000270,0002002180-000270,BR_00000006,BR_00000001,numeric-chain-000021,4,22,20,1100,0.65,830,850,DC53D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030123142-000030,0030123142-000030,0030123142-000030,BR_00000006,BR_00000001,numeric-chain-000021,4,23,132,1090,0.55,830,850,SCG4+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030125207-000060,0030125207-000060,0030125207-000060,BR_00000006,BR_00000001,numeric-chain-000015,5,1,24,1589,0.7,770,810,DC51D+Z,深冲钢（PD）,SPHCQ,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002176-000230,0002002176-000230,0002002176-000230,BR_00000006,BR_00000001,numeric-chain-000015,5,2,15,1555,0.6,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002185-000130,0002002185-000130,0002002185-000130,BR_00000006,BR_00000001,numeric-chain-000015,5,3,23,1545,0.65,770,810,DC51D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002185-000080,0002002185-000080,0002002185-000080,BR_00000006,BR_00000001,numeric-chain-000015,5,4,40,1540,0.7,770,810,DC51D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002001998-000190,0002001998-000190,0002001998-000190,BR_00000001,BR_00000001,numeric-chain-000015,5,5,42.46,1510,0.6,770,810,DC51D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002195-000160,0002002195-000160,0002002195-000160,BR_00000006,BR_00000001,numeric-chain-000015,5,6,635,1510,0.6,770,810,DC51D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030125168-000080,0030125168-000080,0030125168-000080,BR_00000006,BR_00000001,numeric-chain-000015,5,7,24,1500,0.8,700,840,DX51D+Z,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0005000563-000280,0005000563-000280,0005000563-000280,BR_00000006,BR_00000001,numeric-chain-000015,5,8,21,1448,0.8,830,850,CR3,IF钢,SPHETI-36,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030119860-000030,0030119860-000030,0030119860-000030,BR_00000001,BR_00000001,numeric-chain-000015,5,9,56.58,1410,0.8,830,850,DC56D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002053-000120,0002002053-000120,0002002053-000120,BR_00000001,BR_00000001,numeric-chain-000015,5,10,18.57,1400,0.8,820,840,DX53D+Z-MD,IF钢,SPHETI-5,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002054-000200,0002002054-000200,0002002054-000200,BR_00000001,BR_00000001,numeric-chain-000015,5,11,52.56,1385,0.8,815,835,DX51D+Z-MD,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002055-000050,0002002055-000050,0002002055-000050,BR_00000001,BR_00000001,numeric-chain-000015,5,12,280.12,1310,0.6,815,835,DX51D+Z-MD,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002170-000410,0002002170-000410,0002002170-000410,BR_00000006,BR_00000001,numeric-chain-000015,5,13,23,1330,0.8,810,830,180YD+Z,加磷高强、烘烤硬化钢,H180YD,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030118006-000010,0030118006-000010,0030118006-000010,BR_00000001,BR_00000001,numeric-chain-000015,5,14,55.45,1295,0.6,700,840,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002195-000110,0002002195-000110,0002002195-000110,BR_00000006,BR_00000001,numeric-chain-000015,5,15,110,1285,0.6,830,850,DC54D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030123141-000010,0030123141-000010,0030123141-000010,BR_00000006,BR_00000001,numeric-chain-000015,5,16,50,1275,0.6,830,850,SCG4+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030122897-000010,0030122897-000010,0030122897-000010,BR_00000006,BR_00000001,numeric-chain-000015,5,17,24,1250,0.5,700,840,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,
