chain_id,assigned_period,position,node_id,source_order_id,source_resource_id,source_period,material_role,weight,width,thickness,min_temperature,max_temperature,grade,partition_id,piece_index,virtual_prototype_id,virtual_purpose,virtual_accepted_sequence,related_partition_id,sequence,small_roll,delivery_date
initial-000003,BR_00000001,21,0030117976-000020,0030117976-000020,0030117976-000020,BR_00000001,actual_transition,7.91,1201.0,1.0,700.0,840.0,DC51D+Z,,,,,,,59,02,2026-05-31
initial-000003,BR_00000001,22,0030125207-000090,0030125207-000090,0030125207-000090,BR_00000006,normal_real,24.0,1183.0,0.8,830.0,850.0,DC51D+Z,,,,,,,60,02,2026-06-30
initial-000003,BR_00000001,23,0030124772-000030,0030124772-000030,0030124772-000030,BR_00000006,normal_real,24.0,1180.0,0.7,820.0,840.0,DC53D+Z,,,,,,,61,02,2026-06-30
initial-000003,BR_00000001,24,0030122759-000010,0030122759-000010,0030122759-000010,BR_00000006,normal_real,22.0,1170.0,0.7,830.0,850.0,CR3,,,,,,,62,02,2026-06-30
initial-000003,BR_00000001,25,0002002009-000050,0002002009-000050,0002002009-000050,BR_00000001,normal_real,8.22,1168.0,0.65,830.0,850.0,DC53D+Z,,,,,,,63,02,2026-05-31
initial-000003,BR_00000001,26,0030124871-000040,0030124871-000040,0030124871-000040,BR_00000006,normal_real,20.0,1160.0,0.6,820.0,840.0,DX53D+Z,,,,,,,64,02,2026-06-30
initial-000003,BR_00000001,27,0002002152-000010,0002002152-000010,0002002152-000010,BR_00000006,normal_real,23.0,1155.0,0.65,810.0,830.0,HC180YD+Z,,,,,,,65,02,2026-06-30
initial-000003,BR_00000001,28,split-partition-12867008acf6a0ea9d8776d23dc778175dc8c9ecf45f1c627e21aad01e519f05:piece:0001,0002002055-000120,0002002055-000120,BR_00000001,normal_real,500.0,1150.0,0.6,820.0,840.0,DX53D+Z-MD,partition-12867008acf6a0ea9d8776d23dc778175dc8c9ecf45f1c627e21aad01e519f05,1,,,,,66,02,2026-05-31
initial-000003,BR_00000001,29,virtual-000015,,,,virtual_sphc,20.0,1250.0,0.6,820.0,840.0,SPHC,,,virtual_sphc:1250x0.6,split_separator,15,partition-12867008acf6a0ea9d8776d23dc778175dc8c9ecf45f1c627e21aad01e519f05,67,02,不适用
initial-000003,BR_00000001,30,split-partition-12867008acf6a0ea9d8776d23dc778175dc8c9ecf45f1c627e21aad01e519f05:piece:0002,0002002055-000120,0002002055-000120,BR_00000001,normal_real,70.3,1150.0,0.6,820.0,840.0,DX53D+Z-MD,partition-12867008acf6a0ea9d8776d23dc778175dc8c9ecf45f1c627e21aad01e519f05,2,,,,,68,02,2026-05-31
initial-000003,BR_00000001,31,0002002054-000340,0002002054-000340,0002002054-000340,BR_00000001,normal_real,102.32,1150.0,0.6,815.0,835.0,DX51D+Z-MD,,,,,,,69,02,2026-05-31
